occurred_at,classification,category,action,host,user,source,line,evidence_id
2026-08-06T09:11:31+00:00,context,authentication,logon-success,HOST-CF3B42C3DD,USER-01B97FE545,04-authentication-events.jsonl,1,evidence-49d2482f470e46e9550a101baeeeb1ac
2026-08-06T09:11:40+00:00,context,authentication,synthetic-successful-login,HOST-CF3B42C3DD,USER-01B97FE545,08-wazuh-alerts.jsonl,1,evidence-2ee130f49d9cf6efdf8a9b92ef8f6bdc
2026-08-06T09:11:44+00:00,context,network,dns-answer,HOST-CF3B42C3DD,USER-01B97FE545,01-dns-events.jsonl,1,evidence-2d7847d43b9178589166709aefca0623
2026-08-06T09:12:03+00:00,direct_match,network,dns-answer,HOST-CF3B42C3DD,USER-01B97FE545,01-dns-events.jsonl,2,evidence-b30c59a9381c0a6b05b588dac8e39288
2026-08-06T09:12:04+00:00,context,process,start,HOST-CF3B42C3DD,USER-01B97FE545,02-endpoint-events.jsonl,1,evidence-d856440d079218fe27afd5eb29a98047
2026-08-06T09:12:04+00:00,context,dns,synthetic-dns-query,HOST-CF3B42C3DD,USER-01B97FE545,09-hayabusa-results.jsonl,1,evidence-4327bec621c83c79d0ede34ffe735af1
2026-08-06T09:12:06+00:00,context,file,create,HOST-CF3B42C3DD,USER-01B97FE545,02-endpoint-events.jsonl,2,evidence-6cc699c5baaa284e133f2ccba0ce73d9
2026-08-06T09:12:07+00:00,context,process,start,HOST-CF3B42C3DD,USER-01B97FE545,02-endpoint-events.jsonl,3,evidence-f9ba05b17616ec49129fb9e2460699e9
2026-08-06T09:12:07+00:00,context,file,synthetic-file-create,HOST-CF3B42C3DD,USER-01B97FE545,09-hayabusa-results.jsonl,2,evidence-650c921358229d0610c0f9f1ed874628
2026-08-06T09:12:08+00:00,direct_match,network,connection-allowed,HOST-CF3B42C3DD,,03-network-events.jsonl,1,evidence-ca4cdb8998ba38aa9bf97ff409e88166
2026-08-06T09:12:10+00:00,direct_match,dns,dns-answer,,,07-suricata-eve.jsonl,1,evidence-e1923c04bf03aa85f5aff1fb7fc81292
2026-08-06T09:12:17+00:00,direct_match,network,connection-allowed,HOST-CF3B42C3DD,,03-network-events.jsonl,2,evidence-8560dbe70bf392d9988e980d9623fdf0
2026-08-06T09:12:20+00:00,context,alert,alert,,,07-suricata-eve.jsonl,2,evidence-fb850df8e15b143973841273dd3726d2
2026-08-06T09:12:22+00:00,direct_match,network,synthetic-outbound-connection,HOST-CF3B42C3DD,USER-01B97FE545,08-wazuh-alerts.jsonl,2,evidence-ae427d5ec4de5c9733248d1e0605246b
2026-08-06T09:12:25+00:00,direct_match,network,connection-allowed,HOST-CF3B42C3DD,USER-01B97FE545,10-generic-array.json,1,evidence-f19b96f26a816bbbea1828c6c264666d
2026-08-06T09:12:28+00:00,direct_match,network,connection-allowed,HOST-CF3B42C3DD,USER-01B97FE545,11-mapped-proxy.csv,2,evidence-cbf7d8caf5883d57089346cf1be986f4
2026-08-06T09:12:35+00:00,context,network,connection-allowed,HOST-CF3B42C3DD,USER-01B97FE545,10-generic-array.json,2,evidence-c7f0af77cae1b7dd8b7c0bba0cfd1d9d
2026-08-06T09:12:38+00:00,context,network,connection-allowed,HOST-CF3B42C3DD,USER-01B97FE545,11-mapped-proxy.csv,3,evidence-69fa712ae216fec73aabd6e53b36d86d
2026-08-06T09:13:02+00:00,context,authentication,logon-failure,HOST-CF3B42C3DD,USER-77A2ECAEE0,04-authentication-events.jsonl,2,evidence-b02ca5afad4119b76fccc756dd3767a4
2026-08-06T09:13:36+00:00,context,network,dns-answer,HOST-CF3B42C3DD,USER-01B97FE545,01-dns-events.jsonl,3,evidence-e414515c0cd85af0259948d4252fdbfc
2026-08-06T09:13:41+00:00,context,process,start,HOST-CF3B42C3DD,USER-01B97FE545,02-endpoint-events.jsonl,4,evidence-85f3a4d312ddf53712687c9500a1e4eb
2026-08-06T09:14:02+00:00,context,network,connection-allowed,HOST-CF3B42C3DD,,03-network-events.jsonl,3,evidence-eff8b995f22e573b9b1dddb222d8a374
2026-08-06T09:15:00+00:00,direct_match,network,connection-allowed,HOST-CF3B42C3DD,,05-partial-with-warning.jsonl,1,evidence-af01f37a90a61d4a23f23df37e95e4eb
